IT Inventory Name,Type,Make,MODEL,Description,Retail Value,Payment Method,Assigned To,enCrypted,Status,Life Cycle,Purchase Date,Warranty Exp
LT028,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT029,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT030,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT031,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT032,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT033,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT034,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT035,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT036,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT037,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT038,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT039,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT040,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT041,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT042,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT043,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT044,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT045,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT046,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT047,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT048,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT049,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT050,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT051,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT052,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT053,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT054,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT055,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT056,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT057,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT058,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
